iter	Passed	Remaining
0	13	13341
1	25	12746
2	40	13402
3	55	13753
4	69	13759
5	82	13646
6	98	13963
7	112	13905
8	127	13993
9	139	13764
10	154	13891
11	169	13915
12	185	14045
13	198	13960
14	212	13951
15	227	13966
16	240	13902
17	256	14000
18	271	14033
19	286	14037
20	301	14075
21	316	14082
22	331	14079
23	348	14157
24	359	14022
25	373	13990
26	388	14002
27	407	14130
28	425	14253
29	441	14281
30	458	14326
31	473	14332
32	488	14300
33	504	14341
34	522	14401
35	537	14384
36	553	14411
37	569	14417
38	585	14425
39	601	14439
40	617	14449
41	634	14470
42	651	14502
43	666	14471
44	679	14421
45	695	14426
46	708	14358
47	723	14341
48	739	14357
49	754	14329
50	770	14342
51	786	14341
52	803	14353
53	819	14358
54	829	14260
55	846	14268
56	861	14245
57	877	14252
58	894	14262
59	910	14271
60	927	14271
61	943	14272
62	959	14277
63	976	14285
64	993	14292
65	1010	14295
66	1027	14309
67	1043	14306
68	1055	14237
69	1069	14212
70	1085	14201
71	1101	14201
72	1118	14201
73	1134	14197
74	1150	14193
75	1166	14177
76	1182	14172
77	1198	14162
78	1212	14135
79	1231	14157
80	1251	14198
81	1267	14190
82	1284	14190
83	1299	14174
84	1315	14158
85	1331	14155
86	1348	14146
87	1364	14141
88	1381	14136
89	1395	14107
90	1411	14102
91	1428	14096
92	1444	14084
93	1460	14079
94	1476	14064
95	1492	14056
96	1509	14054
97	1526	14046
98	1541	14028
99	1557	14013
100	1573	14008
101	1589	13995
102	1604	13976
103	1620	13964
104	1636	13951
105	1652	13935
106	1667	13915
107	1682	13896
108	1698	13883
109	1712	13853
110	1727	13832
111	1742	13813
112	1758	13806
113	1774	13794
114	1787	13754
115	1802	13732
116	1814	13692
117	1831	13686
118	1845	13664
119	1861	13650
120	1877	13640
121	1893	13629
122	1909	13615
123	1926	13610
124	1942	13596
125	1958	13585
126	1974	13572
127	1989	13552
128	2005	13539
129	2021	13525
130	2037	13515
131	2052	13499
132	2071	13501
133	2087	13491
134	2104	13485
135	2122	13485
136	2139	13477
137	2150	13434
138	2168	13434
139	2185	13422
140	2200	13404
141	2215	13389
142	2233	13383
143	2249	13373
144	2266	13363
145	2282	13351
146	2298	13340
147	2315	13331
148	2332	13322
149	2349	13312
150	2365	13299
151	2382	13289
152	2397	13273
153	2413	13257
154	2430	13247
155	2447	13239
156	2463	13227
157	2480	13219
158	2497	13210
159	2513	13194
160	2526	13165
161	2541	13146
162	2557	13132
163	2573	13116
164	2586	13091
165	2602	13077
166	2619	13065
167	2635	13053
168	2652	13043
169	2668	13028
170	2683	13010
171	2697	12987
172	2713	12970
173	2730	12962
174	2748	12955
175	2765	12946
176	2783	12940
177	2798	12923
178	2815	12912
179	2833	12906
180	2849	12892
181	2865	12878
182	2882	12867
183	2898	12855
184	2914	12840
185	2932	12832
186	2949	12824
187	2966	12811
188	2981	12793
189	2997	12776
190	3014	12769
191	3032	12762
192	3050	12754
193	3068	12748
194	3086	12740
195	3103	12732
196	3120	12721
197	3137	12706
198	3153	12691
199	3170	12682
200	3186	12667
201	3202	12652
202	3218	12634
203	3234	12621
204	3251	12609
205	3266	12591
206	3282	12575
207	3299	12562
208	3316	12550
209	3332	12536
210	3347	12517
211	3362	12496
212	3377	12480
213	3392	12460
214	3408	12446
215	3425	12434
216	3441	12418
217	3458	12407
218	3476	12396
219	3491	12379
220	3507	12365
221	3524	12350
222	3539	12334
223	3555	12316
224	3570	12299
225	3586	12283
226	3604	12272
227	3620	12257
228	3636	12244
229	3653	12229
230	3669	12214
231	3685	12200
232	3702	12187
233	3718	12172
234	3735	12158
235	3749	12139
236	3765	12122
237	3781	12106
238	3797	12090
239	3813	12074
240	3829	12059
241	3844	12041
242	3859	12023
243	3874	12005
244	3891	11993
245	3908	11979
246	3924	11964
247	3939	11945
248	3955	11928
249	3971	11915
250	3987	11899
251	4003	11882
252	4017	11863
253	4031	11841
254	4047	11825
255	4064	11812
256	4080	11797
257	4097	11782
258	4113	11768
259	4129	11752
260	4145	11737
261	4159	11717
262	4175	11700
263	4192	11689
264	4212	11683
265	4228	11668
266	4244	11653
267	4261	11640
268	4278	11627
269	4295	11613
270	4311	11598
271	4328	11583
272	4344	11569
273	4359	11550
274	4373	11531
275	4389	11513
276	4405	11500
277	4421	11483
278	4436	11464
279	4451	11446
280	4468	11433
281	4484	11418
282	4502	11406
283	4517	11389
284	4532	11370
285	4547	11352
286	4563	11335
287	4579	11322
288	4596	11307
289	4612	11292
290	4627	11274
291	4642	11256
292	4658	11239
293	4674	11225
294	4690	11209
295	4707	11195
296	4722	11178
297	4737	11160
298	4754	11146
299	4771	11132
300	4788	11120
301	4805	11105
302	4821	11091
303	4838	11076
304	4854	11061
305	4870	11045
306	4886	11031
307	4901	11013
308	4916	10994
309	4932	10978
310	4948	10962
311	4964	10947
312	4980	10932
313	4997	10917
314	5012	10900
315	5028	10884
316	5045	10869
317	5062	10858
318	5079	10844
319	5095	10827
320	5112	10814
321	5128	10797
322	5144	10782
323	5160	10767
324	5176	10752
325	5193	10737
326	5209	10721
327	5225	10705
328	5240	10688
329	5259	10678
330	5276	10664
331	5294	10652
332	5312	10641
333	5328	10625
334	5345	10612
335	5363	10600
336	5379	10583
337	5394	10565
338	5410	10549
339	5427	10536
340	5444	10521
341	5460	10505
342	5477	10492
343	5493	10475
344	5507	10456
345	5523	10441
346	5540	10425
347	5556	10410
348	5572	10394
349	5589	10379
350	5605	10363
351	5620	10347
352	5637	10332
353	5653	10316
354	5670	10302
355	5686	10287
356	5700	10268
357	5717	10252
358	5733	10237
359	5750	10223
360	5766	10207
361	5782	10190
362	5798	10175
363	5814	10159
364	5831	10145
365	5847	10128
366	5862	10111
367	5876	10092
368	5892	10076
369	5907	10059
370	5923	10042
371	5937	10024
372	5952	10005
373	5967	9987
374	5981	9969
375	5995	9949
376	6009	9931
377	6024	9913
378	6039	9895
379	6053	9877
380	6068	9858
381	6084	9843
382	6099	9826
383	6115	9810
384	6131	9793
385	6146	9777
386	6160	9758
387	6176	9741
388	6192	9726
389	6207	9709
390	6224	9694
391	6239	9678
392	6255	9662
393	6271	9646
394	6287	9630
395	6303	9613
396	6318	9596
397	6332	9578
398	6348	9561
399	6364	9546
400	6381	9532
401	6397	9517
402	6417	9506
403	6434	9491
404	6451	9477
405	6468	9464
406	6484	9448
407	6501	9434
408	6518	9418
409	6534	9403
410	6549	9386
411	6565	9370
412	6581	9354
413	6597	9338
414	6613	9322
415	6630	9308
416	6646	9292
417	6662	9276
418	6679	9261
419	6694	9245
420	6709	9227
421	6724	9210
422	6738	9191
423	6754	9176
424	6771	9160
425	6786	9144
426	6801	9127
427	6817	9111
428	6833	9094
429	6849	9079
430	6864	9062
431	6879	9045
432	6894	9028
433	6909	9010
434	6925	8995
435	6940	8978
436	6956	8962
437	6973	8948
438	6990	8933
439	7005	8916
440	7021	8900
441	7038	8885
442	7054	8870
443	7070	8853
444	7085	8837
445	7100	8820
446	7115	8802
447	7130	8786
448	7145	8768
449	7159	8750
450	7175	8734
451	7193	8721
452	7208	8704
453	7222	8685
454	7237	8668
455	7251	8650
456	7265	8632
457	7279	8614
458	7294	8597
459	7309	8580
460	7324	8564
461	7339	8546
462	7353	8528
463	7367	8510
464	7381	8492
465	7396	8475
466	7412	8459
467	7426	8442
468	7441	8424
469	7455	8407
470	7472	8392
471	7487	8375
472	7502	8359
473	7517	8342
474	7532	8324
475	7547	8308
476	7562	8291
477	7576	8273
478	7591	8256
479	7605	8239
480	7619	8221
481	7633	8203
482	7646	8184
483	7660	8167
484	7675	8150
485	7692	8135
486	7708	8119
487	7724	8104
488	7740	8088
489	7754	8071
490	7770	8055
491	7786	8039
492	7801	8022
493	7816	8006
494	7831	7990
495	7847	7974
496	7863	7958
497	7881	7944
498	7897	7928
499	7910	7910
500	7925	7894
501	7941	7877
502	7957	7862
503	7973	7847
504	7988	7830
505	8003	7813
506	8020	7798
507	8035	7782
508	8050	7765
509	8064	7748
510	8077	7729
511	8091	7712
512	8105	7695
513	8119	7677
514	8133	7660
515	8148	7642
516	8163	7626
517	8178	7609
518	8193	7593
519	8209	7577
520	8224	7561
521	8238	7543
522	8253	7527
523	8267	7510
524	8281	7493
525	8295	7475
526	8309	7457
527	8322	7440
528	8337	7423
529	8352	7406
530	8367	7390
531	8380	7372
532	8394	7355
533	8409	7338
534	8424	7322
535	8437	7304
536	8451	7286
537	8465	7269
538	8480	7253
539	8494	7236
540	8510	7220
541	8524	7203
542	8539	7186
543	8552	7168
544	8566	7151
545	8581	7135
546	8595	7118
547	8610	7101
548	8625	7086
549	8641	7070
550	8657	7054
551	8673	7039
552	8690	7024
553	8705	7008
554	8720	6991
555	8734	6974
556	8750	6959
557	8764	6942
558	8779	6926
559	8793	6909
560	8807	6891
561	8820	6874
562	8834	6857
563	8850	6841
564	8864	6825
565	8879	6808
566	8893	6791
567	8906	6774
568	8921	6757
569	8935	6740
570	8949	6723
571	8962	6706
572	8975	6688
573	8989	6671
574	9004	6655
575	9018	6638
576	9032	6621
577	9047	6605
578	9061	6588
579	9074	6571
580	9089	6554
581	9102	6537
582	9117	6521
583	9130	6503
584	9143	6486
585	9157	6469
586	9172	6453
587	9185	6436
588	9199	6419
589	9213	6402
590	9225	6384
591	9239	6367
592	9254	6351
593	9269	6335
594	9283	6318
595	9297	6302
596	9310	6285
597	9326	6269
598	9340	6253
599	9356	6237
600	9370	6221
601	9385	6205
602	9399	6188
603	9415	6172
604	9428	6155
605	9441	6138
606	9456	6122
607	9470	6105
608	9483	6089
609	9498	6072
610	9514	6057
611	9529	6041
612	9544	6025
613	9558	6009
614	9574	5993
615	9589	5977
616	9604	5961
617	9619	5946
618	9634	5930
619	9647	5912
620	9662	5896
621	9678	5881
622	9692	5865
623	9707	5849
624	9721	5833
625	9736	5816
626	9750	5800
627	9765	5784
628	9780	5768
629	9793	5751
630	9806	5734
631	9820	5718
632	9833	5701
633	9847	5685
634	9862	5669
635	9875	5652
636	9889	5635
637	9903	5619
638	9916	5602
639	9933	5587
640	9948	5571
641	9963	5555
642	9978	5539
643	9992	5523
644	10007	5507
645	10023	5492
646	10038	5477
647	10052	5460
648	10068	5445
649	10081	5428
650	10096	5412
651	10110	5396
652	10125	5380
653	10141	5365
654	10158	5350
655	10173	5334
656	10187	5318
657	10202	5302
658	10217	5287
659	10232	5271
660	10246	5255
661	10261	5239
662	10276	5223
663	10291	5207
664	10306	5191
665	10320	5175
666	10334	5159
667	10347	5142
668	10363	5127
669	10376	5110
670	10391	5095
671	10406	5079
672	10420	5063
673	10435	5047
674	10449	5031
675	10464	5015
676	10478	4999
677	10493	4983
678	10507	4967
679	10521	4951
680	10535	4935
681	10549	4918
682	10564	4903
683	10579	4887
684	10592	4871
685	10606	4854
686	10622	4839
687	10634	4822
688	10649	4806
689	10662	4790
690	10675	4773
691	10689	4757
692	10704	4742
693	10718	4726
694	10732	4709
695	10746	4693
696	10760	4677
697	10773	4661
698	10787	4645
699	10802	4629
700	10816	4613
701	10830	4597
702	10844	4581
703	10858	4565
704	10872	4549
705	10887	4533
706	10901	4517
707	10915	4501
708	10929	4485
709	10943	4469
710	10957	4453
711	10972	4438
712	10986	4422
713	11001	4406
714	11016	4391
715	11032	4375
716	11045	4359
717	11059	4343
718	11073	4327
719	11087	4311
720	11101	4295
721	11115	4280
722	11132	4265
723	11148	4250
724	11164	4234
725	11179	4219
726	11190	4202
727	11205	4186
728	11218	4170
729	11235	4155
730	11249	4139
731	11263	4123
732	11278	4108
733	11294	4092
734	11307	4076
735	11322	4061
736	11336	4045
737	11350	4029
738	11365	4014
739	11380	3998
740	11396	3983
741	11410	3967
742	11423	3951
743	11436	3935
744	11450	3919
745	11466	3904
746	11482	3889
747	11498	3873
748	11514	3858
749	11528	3842
750	11543	3827
751	11560	3812
752	11575	3797
753	11590	3781
754	11604	3765
755	11618	3749
756	11632	3733
757	11647	3718
758	11661	3702
759	11676	3687
760	11690	3671
761	11703	3655
762	11717	3639
763	11732	3624
764	11744	3607
765	11758	3592
766	11771	3576
767	11784	3560
768	11798	3544
769	11812	3528
770	11827	3512
771	11841	3497
772	11855	3481
773	11870	3465
774	11885	3450
775	11900	3435
776	11914	3419
777	11928	3403
778	11942	3388
779	11956	3372
780	11971	3356
781	11985	3341
782	11999	3325
783	12012	3309
784	12025	3293
785	12040	3278
786	12056	3263
787	12072	3247
788	12084	3231
789	12099	3216
790	12115	3201
791	12129	3185
792	12144	3170
793	12160	3154
794	12176	3139
795	12191	3124
796	12207	3109
797	12223	3094
798	12239	3079
799	12255	3063
800	12271	3048
801	12286	3033
802	12300	3017
803	12313	3001
804	12328	2986
805	12346	2971
806	12362	2956
807	12377	2941
808	12393	2925
809	12407	2910
810	12422	2894
811	12438	2879
812	12453	2864
813	12467	2848
814	12481	2833
815	12494	2817
816	12509	2801
817	12522	2786
818	12537	2770
819	12552	2755
820	12565	2739
821	12579	2723
822	12593	2708
823	12607	2692
824	12622	2677
825	12638	2662
826	12653	2646
827	12667	2631
828	12680	2615
829	12696	2600
830	12710	2585
831	12725	2569
832	12738	2553
833	12753	2538
834	12770	2523
835	12786	2508
836	12801	2492
837	12815	2477
838	12828	2461
839	12844	2446
840	12858	2431
841	12875	2416
842	12890	2400
843	12907	2385
844	12924	2370
845	12939	2355
846	12953	2339
847	12968	2324
848	12982	2308
849	12995	2293
850	13008	2277
851	13023	2262
852	13039	2247
853	13053	2231
854	13069	2216
855	13082	2200
856	13097	2185
857	13113	2170
858	13130	2155
859	13145	2139
860	13160	2124
861	13174	2109
862	13189	2093
863	13204	2078
864	13218	2063
865	13233	2047
866	13247	2032
867	13260	2016
868	13273	2000
869	13288	1985
870	13304	1970
871	13319	1955
872	13332	1939
873	13347	1924
874	13360	1908
875	13373	1893
876	13387	1877
877	13401	1862
878	13415	1846
879	13429	1831
880	13441	1815
881	13457	1800
882	13471	1785
883	13486	1769
884	13500	1754
885	13514	1738
886	13528	1723
887	13542	1708
888	13557	1692
889	13571	1677
890	13585	1661
891	13600	1646
892	13614	1631
893	13628	1615
894	13642	1600
895	13656	1585
896	13669	1569
897	13683	1554
898	13697	1538
899	13712	1523
900	13727	1508
901	13743	1493
902	13756	1477
903	13770	1462
904	13783	1446
905	13798	1431
906	13814	1416
907	13829	1401
908	13843	1385
909	13858	1370
910	13872	1355
911	13885	1339
912	13901	1324
913	13914	1309
914	13929	1293
915	13942	1278
916	13957	1263
917	13972	1248
918	13986	1232
919	14000	1217
920	14015	1202
921	14029	1186
922	14044	1171
923	14057	1156
924	14071	1140
925	14086	1125
926	14099	1110
927	14115	1095
928	14130	1079
929	14143	1064
930	14158	1049
931	14173	1034
932	14187	1018
933	14200	1003
934	14214	988
935	14228	972
936	14242	957
937	14257	942
938	14270	927
939	14284	911
940	14298	896
941	14313	881
942	14327	866
943	14341	850
944	14354	835
945	14367	820
946	14380	804
947	14395	789
948	14409	774
949	14423	759
950	14436	743
951	14450	728
952	14464	713
953	14479	698
954	14494	682
955	14508	667
956	14521	652
957	14535	637
958	14550	622
959	14565	606
960	14579	591
961	14594	576
962	14607	561
963	14620	545
964	14635	530
965	14650	515
966	14664	500
967	14678	485
968	14692	470
969	14707	454
970	14721	439
971	14736	424
972	14751	409
973	14765	394
974	14779	378
975	14794	363
976	14807	348
977	14821	333
978	14835	318
979	14850	303
980	14863	287
981	14877	272
982	14892	257
983	14906	242
984	14920	227
985	14932	212
986	14944	196
987	14958	181
988	14973	166
989	14989	151
990	15004	136
991	15017	121
992	15030	105
993	15044	90
994	15058	75
995	15073	60
996	15087	45
997	15101	30
998	15114	15
999	15129	0
